active,attribute_id,category_id
TRUE,4,7000093
TRUE,4,7000094
TRUE,4,7000095
TRUE,4,7000096
TRUE,4,7000097
TRUE,4,7000098
TRUE,4,7000099
TRUE,4,7000100
TRUE,4,7000101
TRUE,4,7000102
TRUE,4,7000103
TRUE,4,7000104
TRUE,4,7000105
TRUE,4,7000106
TRUE,4,7000107
TRUE,4,7000108
TRUE,4,7000109
TRUE,4,7000110
TRUE,4,7000111
TRUE,4,7000112
TRUE,4,7000114
TRUE,4,7000124
TRUE,4,7000125
TRUE,4,7000126
TRUE,4,7000127
TRUE,4,7000128
TRUE,4,7000129
TRUE,4,7000130
TRUE,4,7000149
TRUE,4,7000155
TRUE,4,7000171
TRUE,4,7000172
TRUE,4,7000173
TRUE,4,7000174
TRUE,4,7000175
TRUE,4,7000176
TRUE,4,7000177
TRUE,4,7000178
TRUE,4,7000179
TRUE,4,7000180
TRUE,4,7000181
TRUE,4,7000182
TRUE,4,7000183
TRUE,4,7000184
TRUE,4,7000185
TRUE,4,7000186
TRUE,4,7000187
TRUE,4,7000188
TRUE,4,7000189
TRUE,4,7000190
TRUE,4,7000191
TRUE,4,7000230
TRUE,4,7000232
TRUE,4,7000256
TRUE,4,7000257
TRUE,4,7000258
TRUE,4,7000259
TRUE,4,7000260
TRUE,4,7000261
TRUE,4,7000262
TRUE,4,7000263
TRUE,4,7000264
TRUE,4,7000266
TRUE,4,7000267
TRUE,4,7000268
TRUE,4,7000269
TRUE,4,7000270
TRUE,4,7000271
TRUE,4,7000272
TRUE,4,7000274
TRUE,4,7000275
TRUE,4,7000276
TRUE,4,7000277
TRUE,4,7000279
TRUE,4,7000280
TRUE,4,7000281
TRUE,4,7000312
TRUE,4,7000314
TRUE,4,7000315
TRUE,4,13000155
TRUE,4,13000158
TRUE,4,13000160
TRUE,4,13000162
TRUE,50,4000218
TRUE,50,4000219
TRUE,50,4000220
TRUE,50,4000221
TRUE,50,4000222
TRUE,50,4000223
TRUE,50,4000224
TRUE,50,4000225
TRUE,50,4000226
TRUE,50,4000227
TRUE,50,4000228
TRUE,50,4000229
TRUE,50,4000230
TRUE,50,4000231
TRUE,50,4000232
TRUE,50,4000233
TRUE,50,4000234
TRUE,50,4000235
TRUE,50,4000236
TRUE,50,4000237
TRUE,50,4000238
TRUE,50,4000239
TRUE,50,4000240
TRUE,50,4000241
TRUE,50,4000242
TRUE,50,4000243
TRUE,50,4000244
TRUE,50,4000245
TRUE,50,4000246
TRUE,50,4000247
TRUE,50,4000248
TRUE,50,4000249
TRUE,50,4000250
TRUE,50,4000251
TRUE,50,4000252
TRUE,50,4000253
TRUE,50,4000254
TRUE,50,4000255
TRUE,50,4000256
TRUE,50,4000257
TRUE,50,4000258
TRUE,50,4000259
TRUE,50,4000260
TRUE,50,4000261
TRUE,50,4000262
TRUE,50,4000263
TRUE,50,4000264
TRUE,50,4000265
TRUE,50,4000266
TRUE,50,4000267
TRUE,50,4000268
TRUE,50,4000269
TRUE,50,4000270
TRUE,50,4000271
TRUE,50,4000272
TRUE,50,4000273
TRUE,50,4000274
TRUE,50,4000275
TRUE,50,4000276
TRUE,50,4000277
TRUE,50,4000278
TRUE,50,4000279
TRUE,50,4000280
TRUE,50,4000281
TRUE,50,4000282
TRUE,50,4000283
TRUE,50,4000284
TRUE,50,4000285
TRUE,50,4000286
TRUE,50,4000287
TRUE,50,4000288
TRUE,50,4000289
TRUE,50,4000290
TRUE,50,4000291
TRUE,50,4000292
TRUE,50,4000293
TRUE,50,4000294
TRUE,50,4000295
TRUE,50,4000296
TRUE,50,4000297
TRUE,50,4000298
TRUE,50,4000299
TRUE,50,4000300
TRUE,50,4000301
TRUE,50,4000302
TRUE,50,4000303
TRUE,50,4000304
TRUE,50,4000305
TRUE,50,4000306
TRUE,50,4000307
TRUE,50,4000308
TRUE,50,4000309
TRUE,50,4000310
TRUE,50,4000311
TRUE,50,4000312
TRUE,50,4000313
TRUE,50,4000314
TRUE,50,4000315
TRUE,50,4000316
TRUE,50,4000317
TRUE,50,4000318
TRUE,50,4000319
TRUE,50,4000320
TRUE,50,4000321
TRUE,50,4000322
TRUE,50,4000323
TRUE,50,4000324
TRUE,50,4000325
TRUE,50,4000326
TRUE,50,4000327
TRUE,50,4000328
TRUE,50,4000329
TRUE,50,4000330
TRUE,50,4000331
TRUE,50,4000332
TRUE,50,4000333
TRUE,50,4000334
TRUE,50,4000335
TRUE,50,4000336
TRUE,50,4000337
TRUE,50,4000338
TRUE,50,4000339
